Employee Code,Employee Name,Email,Additional Email,Mobile Number,Secondary Mobile Number,Gender,Date Of Joining,Date Of Birth,Fax,Marital Status,Self Service,Employee Type,Office Location,Business Unit,Designation,Department,Grade,Parent Department,Primary Manager,Primary Manager Email,Bank Name,Branch Name,Account Holder Name,Account Number,Account Type,IFSC Code,Swift Code,PAN Number,Aadhaar Enrollment Number,Aadhaar Number,Present Address,Present State,Present City,Present Pincode,Present Country,Permanent Address,Permanent State,Permanent City,Permanent Pincode,Permanent Country,Status
EMP0017,Amanda Frye,melanieellis@example.com,haley65@example.net,001-860-910-5249x8748,(531)211-8098x591,Male,2018-08-11,1985-08-05,5146196299,Single,No,Intern,Erikburgh,Tech,Engineer,Support,A,Engineering,Katherine Huang,jonathankramer@example.org,"Jensen, Harris and Taylor",Dicksonburgh,Kevin Bell,GB04VPVE41949302390622,Savings,IFSC4934,SW899189,uoQlD7808u,734315745894,348612619182,"64832 Joseph Islands Suite 805
Fitzgeraldfurt, OH 16998",Wyoming,Lake Austin,81333,India,"73611 Martinez Spring Suite 203
East Cody, MS 53780",California,New James,64960,India,Inactive
EMP0018,Carlos Lee,pburke@example.com,mbowman@example.org,(953)903-7383x023,394-946-5419,Female,2016-03-29,1998-07-18,(799)413-2630x742,Married,No,Intern,New Marcland,Marketing,Analyst,IT,C,Engineering,Katherine Huang,adrienne66@example.com,Thomas Inc,Crystalberg,Sandra Burns,GB94ESES64312278620479,Current,IFSC7789,SW969167,FpHcb1511T,917494862319,827303292299,"1497 Lane Canyon
East Mariamouth, AR 45987",Michigan,Danafurt,03407,India,"Unit 3319 Box 2383
DPO AA 42401",Alabama,Roberthaven,72291,India,Active
EMP0019,Mary Mcneil,kennethwallace@example.net,joel44@example.org,(527)406-7048x967,8414643774,Male,2024-03-27,1993-03-13,+1-774-520-3541x064,Single,No,Full Time,Robertberg,Tech,Manager,Support,B,Engineering,Katherine Huang,ralexander@example.com,Sweeney-Ortiz,North Angelamouth,Alan Lara,GB98WMUP36160492448185,Current,IFSC1516,SW521807,vWvCm0201p,597482760101,534818411894,"27227 Strong Square
South Janet, OK 04073",Oklahoma,Smithville,13666,India,"46379 Lopez Route Apt. 969
West Michael, MD 62485",South Dakota,Gilmoreview,45666,India,Inactive
EMP0020,Stephanie Morris,watsonchristy@example.net,emma01@example.com,001-982-736-9582x0767,8396317218,Other,2017-11-17,1979-07-10,616.808.7503,Single,Yes,Part Time,Padillaport,Tech,Engineer,Support,A,Engineering,Katherine Huang,pjames@example.net,"Wise, Campbell and Bonilla",Lake Ryanport,Brittany Craig,GB08NMWY99478546925067,Current,IFSC1001,SW140800,voybN7413v,227112903208,662467480272,"PSC 1174, Box 4460
APO AP 35523",Michigan,Jonesport,29304,India,"USCGC Schultz
FPO AP 27482",Missouri,South Billyland,48846,India,Inactive
EMP0021,Mario Moore,terrymiller@example.org,mezaann@example.org,319-913-1761,001-278-528-1256x821,Female,2015-06-28,1983-02-23,665-585-8986,Married,No,Full Time,East Cassidystad,HR,Manager,Support,C,Corporate,Katherine Huang,smithdouglas@example.net,"Schwartz, Delgado and Taylor",Port Tracyfort,Desiree Green,GB43EBFV55318724531935,Savings,IFSC1241,SW521335,JwcOv6146o,606842404156,043245812739,"4040 Lauren Estate
Georgefurt, IN 76922",Oklahoma,North Dawn,99209,India,"8799 Stuart Key
Davetown, MT 48169",Idaho,Boothbury,95182,India,Inactive
EMP0022,Nicole Oneal,aduran@example.net,christinasnyder@example.com,(226)667-3412,001-921-924-2648x6586,Female,2021-07-20,1996-12-24,249-954-4469,Single,Yes,Full Time,South Joseph,Marketing,Manager,Support,C,Corporate,Katherine Huang,perrychristopher@example.com,"Shepherd, Johnson and Shelton",Vaughanstad,Kelly Peters,GB74XWPS29095346131297,Savings,IFSC2948,SW737911,SjFYq2757F,583058468914,282215300771,"79294 Kevin Curve
Durhamton, MA 14034",Connecticut,West Dianeshire,48380,India,"766 Christopher Walk
Sherrychester, TN 65093",Missouri,South Lisa,56086,India,Active
EMP0023,Chad Morris,lauren75@example.org,stevenanderson@example.com,472.318.9975,+1-652-445-1165x54503,Female,2021-01-28,1980-03-24,(282)873-1841,Married,Yes,Full Time,South Stevenberg,HR,Engineer,Support,A,Corporate,Katherine Huang,conleycathy@example.org,Miller-Carpenter,Port Julie,Roger Barrera,GB79QOWI52642213857158,Current,IFSC8421,SW938676,iwlFo6470o,127615315233,985759784409,"3881 Gonzales Creek
South Alyssahaven, OH 80804",Oregon,Bergmouth,80220,India,"7280 Drake Alley
New Melissaberg, WV 14838",Arkansas,Rebeccaborough,08720,India,Active
EMP0024,Stephanie Ward,hdowns@example.net,paula36@example.net,5933907062,001-925-744-7586,Female,2021-07-02,1994-05-21,984-678-5656x403,Single,No,Full Time,Pattersonberg,Tech,Engineer,IT,A,Corporate,Katherine Huang,claudiaschaefer@example.org,Shaw-Hunter,Lake Todd,Mr. Warren Wilson,GB68BQBW11922935511672,Savings,IFSC5254,SW685478,MoWMK5983C,941261322445,275811600356,"9151 Franklin Hills Apt. 605
Garyland, OH 36687",New Jersey,Port Lisaburgh,19013,India,"716 Mcdonald Burgs Suite 071
Port Lori, MA 39537",Rhode Island,South Lauren,01407,India,Inactive
EMP0025,Alexander York,christianhancock@example.net,ikane@example.net,001-926-552-8592x11313,2656459478,Female,2020-11-26,1998-02-10,663.470.8965x395,Single,No,Intern,Lake Jennifer,Marketing,Engineer,Support,B,Engineering,Katherine Huang,zmoore@example.com,"Lutz, Carey and Grimes",Lake Stephanieland,Tammy Jenkins,GB31CVSH81357891229990,Savings,IFSC4405,SW493823,dFebP7438d,932738499125,809548394096,"5149 Michael Stream Apt. 960
Hallchester, OK 61452",Maine,East Hannahmouth,71008,India,"012 Reyes Extensions
Lake Amy, AK 05860",Montana,Velasquezburgh,50346,India,Inactive
EMP0026,Curtis Palmer,caitlin06@example.com,monroejames@example.com,001-429-833-0314x5542,906-719-7263x662,Male,2015-08-30,1983-05-26,3983338673,Single,Yes,Part Time,East Kevin,HR,Engineer,Sales,C,Corporate,Katherine Huang,amyscott@example.com,Williams and Sons,Estradaview,Shannon Schroeder,GB20YHSI35147540415435,Current,IFSC1584,SW143204,RyhIq3333Q,256080861438,411868522144,"89317 Michael Grove Suite 127
Williamland, WI 60913",Montana,Floresport,63955,India,"1792 Kathryn Ways
Hallville, NE 82676",Pennsylvania,Tinatown,74692,India,Inactive
EMP0027,Jacob Eaton,frankpearson@example.org,kennethwashington@example.org,(529)392-5205x21859,001-881-678-9745x9130,Male,2015-11-13,2000-01-30,653.995.4172x01745,Single,No,Part Time,West Jessicabury,HR,Analyst,IT,B,Corporate,Katherine Huang,zharris@example.net,"Ryan, Morales and Morrison",West Andrewberg,Calvin Douglas,GB02RJGY53913654017463,Current,IFSC4927,SW150600,akKRd2702f,503374495857,980323312109,"7609 Warner Fords Apt. 948
Emilyhaven, WV 07092",New Jersey,South Joseph,87334,India,"9484 Griffin Radial
Marcusland, VT 57611",Michigan,Port Danielmouth,77682,India,Inactive
EMP0028,Abigail Arias,collinssteven@example.net,porterjoel@example.net,643-369-7745x0999,612-967-4549x32877,Male,2016-05-16,1980-05-03,212-880-4555,Single,No,Part Time,Grantport,HR,Engineer,Sales,A,Corporate,Katherine Huang,sandy95@example.org,Calderon-Stokes,West Rachel,Dennis Smith,GB06FHLH10676905007432,Current,IFSC8766,SW453454,dqgid7168a,468941579545,308378065083,"308 Hernandez Stravenue
New Travis, NM 57322",Idaho,Bakerton,47777,India,"USNV Sweeney
FPO AP 45278",South Dakota,Jeremytown,08275,India,Inactive
EMP0029,Brandy Dickson,patricia20@example.org,sophiamoore@example.org,(282)566-0545,001-305-855-1955,Male,2023-02-24,1994-08-02,459.342.3829,Married,Yes,Intern,Bonnieside,HR,Engineer,IT,B,Engineering,Katherine Huang,taylor72@example.com,Ward-Stewart,Melissaburgh,Randy Brooks,GB84LIVL26332979693052,Savings,IFSC3728,SW757186,Zgdys0769N,360936977966,604225189729,"240 Kramer Island
Linhaven, WV 29211",Maryland,South Heatherview,27634,India,"630 Melissa Rest Suite 249
Port David, MS 74503",Texas,Wardfort,80815,India,Inactive
EMP0030,Jennifer Carey,kyle24@example.com,randy93@example.com,827.370.6384,242-323-4225x3992,Other,2021-11-19,1978-10-21,(749)344-2049,Single,Yes,Full Time,Greenside,Tech,Analyst,IT,A,Engineering,Katherine Huang,johnsonjessica@example.net,Norton-Wu,North Ronald,Angela Andersen,GB74IYRL20026505589968,Savings,IFSC2606,SW512937,mnuPJ1198z,201053691635,112432366330,"USNV Barnes
FPO AE 67296",Connecticut,Melissamouth,33430,India,"390 Joseph Row Apt. 015
Dannyport, CT 32028",Maryland,North Peterberg,43055,India,Inactive
EMP0031,Kelly Mcdonald,rogerwright@example.net,cookjennifer@example.org,873.774.7372x939,(246)622-9871x39594,Female,2017-06-13,1981-05-18,236.234.9505x060,Married,Yes,Part Time,South Stephanieport,Tech,Engineer,IT,B,Corporate,Katherine Huang,rrodriguez@example.net,Mcbride Inc,West Desireeville,Nichole Smith,GB17UQUD98039964112128,Current,IFSC4144,SW475935,qzndH3379H,713267133126,764938086279,"6977 Rivera Route
Port Caleb, VI 70581",North Carolina,West Sandy,95268,India,"4655 Megan Hollow Suite 313
Hahnburgh, MD 28397",Nebraska,Camachobury,36490,India,Active
EMP0032,Lauren Alvarez,mercerdanielle@example.net,joseph66@example.org,2926066566,499.601.0298x3256,Male,2020-02-17,1984-07-16,001-673-214-2933x20074,Single,No,Intern,Owensburgh,Tech,Manager,Sales,B,Engineering,Katherine Huang,ugomez@example.org,"Mcdowell, Le and Hall",Brownmouth,Carol Robinson,GB60DRQD83865439054199,Savings,IFSC1689,SW936169,EwqBl2170c,822634989003,095479448552,"112 Matthew Forge Suite 554
New Lindaland, TN 55619",Texas,New Margaretchester,60722,India,"726 Ricky Points
West Ronaldport, FL 11471",South Dakota,Paynemouth,78547,India,Active
EMP0033,Taylor Whitaker,orojas@example.net,itaylor@example.org,001-534-683-4085x4620,474.300.6680,Other,2017-02-13,1992-01-28,(263)846-8592x153,Single,Yes,Full Time,Ramirezborough,HR,Engineer,Sales,C,Corporate,Katherine Huang,harringtonkristen@example.org,Martin-Lopez,North Christian,James Mccoy,GB18AETJ40934761951753,Savings,IFSC8993,SW255610,wQDmt9901s,101963737868,722087165219,"9376 Eric Highway Suite 690
Jonesport, VA 61698",Utah,Sharonland,85958,India,"5727 Brown Rue Apt. 928
Dianaburgh, VA 01057",Oklahoma,Drakefort,36917,India,Inactive
EMP0034,Jessica Turner,milesantonio@example.org,ptownsend@example.org,9672931402,204-227-2333,Other,2017-01-20,1996-01-26,275.921.0900x364,Married,No,Intern,Laurenville,HR,Engineer,Sales,C,Corporate,Katherine Huang,melaniegregory@example.net,Hoffman LLC,East Jacob,Dustin Mcdowell,GB75QIQE15612068094953,Savings,IFSC1159,SW456746,oYuhO0000V,144701634499,128155450164,"USNV Ramirez
FPO AE 18565",New York,Jeffreyland,56098,India,"29381 Huber Parkway
Brownstad, IL 61038",Pennsylvania,South William,58519,India,Inactive
EMP0035,Sean Edwards,liroger@example.net,stewartrobert@example.org,(856)568-4331,(230)756-1198,Female,2024-02-19,1997-10-12,(825)476-5445,Single,Yes,Part Time,Byrdmouth,Marketing,Manager,Sales,C,Engineering,Katherine Huang,david25@example.com,"Harris, Joseph and Roberts",North Hollyside,Lisa Smith,GB78PCHC33935504405905,Current,IFSC2087,SW938803,JSjQD2616E,850501770380,161627994960,"329 Steven Fall
Leehaven, WI 06440",North Carolina,Gilmorefurt,35629,India,"9981 Barbara Run Apt. 777
Rogerton, AZ 96563",West Virginia,Patrickbury,79949,India,Active
EMP0036,Vanessa Osborne,heatherfloyd@example.net,samueldorsey@example.org,001-346-631-9562x687,(255)865-6403x75315,Other,2020-09-17,1988-10-19,(339)563-6510x34134,Single,Yes,Full Time,East Barbara,Tech,Manager,Sales,A,Engineering,Katherine Huang,johnmeyer@example.org,Tucker PLC,North Kylemouth,Christina Shah,GB66EUVK42256457762973,Current,IFSC3632,SW939537,dvYFv4667O,057571184496,571576806850,"789 Robinson Stravenue
West Zacharyside, ID 79807",Ohio,Lake Danny,53571,India,"5507 William Brook
Wrightview, RI 96776",Ohio,West Fernando,26861,India,Active
EMP0037,Dr. Debra Reed,edward63@example.org,marydelacruz@example.com,001-649-611-4300x517,464.938.5891x5651,Other,2023-11-24,1993-11-29,+1-696-285-4822x121,Married,No,Intern,Lake William,HR,Analyst,Support,A,Corporate,Katherine Huang,halekrystal@example.net,"Barber, Johnson and Harris",Smithchester,Kristin Garcia,GB78CKNR43772994887510,Savings,IFSC7985,SW891274,IrdeC5572l,748229138270,185565316799,"997 Johnson Plain
Wilsonside, VA 39690",Connecticut,Bobshire,24299,India,"7365 Nathan Junction
Harrischester, OK 97582",Oregon,Russellfort,25474,India,Active
EMP0038,Jon Smith,martinjason@example.net,parksmelanie@example.org,502.362.1658x37011,481-691-0247,Female,2016-11-10,1976-09-12,+1-449-899-3542x72533,Married,No,Part Time,Grayshire,Marketing,Analyst,IT,A,Corporate,Katherine Huang,pattersonedward@example.com,Wade Inc,Grayfort,Michael Jones,GB68LPNK90019977378043,Savings,IFSC5955,SW631478,rWczx0358S,333509101359,186432777391,"159 Charles Green
Whiteheadborough, DC 14729",Utah,Lake Jason,33632,India,"87421 Katherine Viaduct
East David, ID 65643",South Carolina,Garciastad,56112,India,Inactive
EMP0039,Laura Anderson,heathermclean@example.net,michelleknapp@example.com,797.506.9708,220-957-1896x49823,Female,2020-04-28,1975-06-18,737-649-4409,Single,No,Part Time,North Brittneymouth,HR,Engineer,Sales,B,Corporate,Katherine Huang,cookelarry@example.org,Underwood and Sons,Port Marymouth,Ronald Franklin,GB66ARVT76490355526360,Savings,IFSC3086,SW350559,ntjMa0498U,643009279239,546818734405,"45844 Washington Squares Apt. 632
West Michelle, SD 69210",New Hampshire,Parkchester,28079,India,"1397 Howe Terrace Apt. 001
New Roberto, MD 66358",Connecticut,South Kennethfort,61688,India,Inactive
EMP0040,Krista Glenn,christine28@example.org,colejohn@example.org,001-430-841-6565,426.623.0577x154,Other,2023-05-10,1976-12-01,9387443171,Married,Yes,Full Time,West Wesley,HR,Engineer,IT,B,Corporate,Katherine Huang,nathancook@example.com,Boyer PLC,Lake Nicholasport,Bradley Brown,GB12SEHR08299422970794,Savings,IFSC6779,SW531111,Znojj8351r,874743532772,836643547266,"049 Dominique Ports
South Christyburgh, AK 02503",Rhode Island,Patricialand,04674,India,"461 Russell Isle
Lake Samantha, WY 33102",Hawaii,Colonfurt,41666,India,Active
EMP0041,Robin Davis,shawn12@example.com,denisepeterson@example.net,(495)715-7012x24423,983-539-0838x75267,Other,2022-11-03,1988-10-19,386.343.1876x945,Married,No,Part Time,Lake Mary,Tech,Manager,Sales,A,Corporate,Katherine Huang,panderson@example.org,Burke LLC,Kimberlyport,Erin Rogers,GB80CJUM17959561102895,Savings,IFSC3174,SW760567,gQtBy3018s,570345650110,592049493858,"97621 Mcgee Stream
Anthonymouth, LA 83875",Nevada,Oliviaborough,82964,India,"51238 Timothy Prairie Apt. 778
Lake Warren, MS 11726",Rhode Island,Port Tara,60451,India,Inactive
EMP0042,Danny Petersen,hillrichard@example.org,wandamay@example.net,(298)522-0319x03911,323.756.8615,Male,2021-02-23,1989-02-07,+1-761-785-0104x4021,Married,Yes,Part Time,Georgechester,HR,Manager,IT,C,Engineering,Katherine Huang,martinezerik@example.net,"Chavez, Ryan and Warren",Port Aaron,Tara Smith,GB51EGKS01884245616048,Current,IFSC3036,SW815684,FTtdb4695F,210343183384,647799633035,"08668 Lewis Hill Apt. 205
East Destinyhaven, DE 15062",Washington,North Dylanport,04486,India,"988 Lindsay Expressway
New Samuelport, FM 78536",Rhode Island,Port William,52057,India,Inactive
EMP0043,Charles Moore,phillipsdavid@example.com,zwashington@example.org,898-867-4739x861,815.793.0810,Male,2023-07-21,1978-01-21,635.861.0764,Married,No,Intern,Patrickberg,Marketing,Manager,Support,A,Corporate,Katherine Huang,miranda58@example.com,Davila-Harris,West Kaylahaven,Matthew Ellis,GB37STMS49912428986429,Current,IFSC8283,SW489631,WBNaF1464n,843098416565,963500198616,"5552 Morgan Glens
Yolandaview, SC 37421",Georgia,Richardsbury,80322,India,"2424 Albert Lake Suite 170
Ericfort, IL 30373",Michigan,North Josemouth,40492,India,Active
EMP0044,Kimberly Davis,martinezjoseph@example.net,meredith27@example.com,654.845.2431,(257)411-8327x3954,Female,2019-03-18,1994-03-01,6574494520,Married,Yes,Full Time,South Scottville,Tech,Engineer,Sales,A,Corporate,Katherine Huang,csaunders@example.com,"Higgins, Perez and Anderson",Griffinstad,Jennifer Fernandez,GB67PPOK94111136719708,Savings,IFSC2531,SW914054,RvkSv2268k,376215271250,144429367804,"145 Roberts Common Suite 347
East Lindseyville, AK 44449",Nevada,West Traci,13996,India,"7426 Wang Green
Hendersonhaven, ME 76179",New Mexico,Allenburgh,87917,India,Inactive
EMP0045,Beverly Bender,joshua51@example.org,wendyray@example.com,204.297.6124x33952,7318071438,Other,2019-07-08,1978-10-12,(238)889-2763,Married,Yes,Full Time,Dunlapchester,HR,Analyst,Sales,A,Corporate,Katherine Huang,jacksonlori@example.org,Bender-Martin,Huangstad,Jenny Butler,GB34GMNS68371097805557,Current,IFSC2030,SW204030,edeSs9498l,431193046418,900231629951,"9183 Hutchinson Mount
Johnville, ME 64212",North Carolina,South Jeffmouth,77519,India,"80838 Johnson Curve Apt. 813
South Nathan, CA 54125",Illinois,Lake Jesse,80971,India,Inactive
